doc_id,item,category,amount,price,discount
01180999-1c2,Товар_93,бытовая химия,3,3355,95
5af8bdf7-1a5,Товар_66,бытовая химия,7,193,31
da567ad0-bb9,Товар_4,бытовая химия,4,1583,135
761efa48-47f,Товар_25,посуда,7,4914,915
83180802-d73,Товар_73,посуда,2,4735,37
8fe8bec8-b25,Товар_49,текстиль,2,4642,304
b086f883-836,Товар_46,посуда,6,808,126
64a44218-14a,Товар_25,бытовая химия,2,166,15
2f915652-f6a,Товар_8,бытовая химия,6,1805,164
f230cfbb-5bc,Товар_62,бытовая химия,1,3309,14
121f0530-720,Товар_39,текстиль,5,1560,272
8e713db5-7c2,Товар_87,посуда,7,3056,267
40434ffe-1a8,Товар_100,кухонная утварь,6,1771,178
9b887bfd-db4,Товар_4,текстиль,10,3054,397
